四川省公共资源交易信息
编号,标题,链接,发布时间,抓取时间
1,什邡市通航产业园项目配套道路工程（一期）海淀路比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/91d358ac-cdfd-4ec4-8cb5-1c3badd1448b.html,2020-11-25 09:02:28,2020/12/25 11:39:58
2,宜宾职业技能技术实训中心建设工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/e63f77e9-c2c2-4fea-a6e1-29edba9ac78e.html,2020-11-25 10:46:22,2020/12/25 11:39:59
3,平武县北岭智慧绿道项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/77677f54-975b-4653-954c-9dc81b24bb3c.html,2020-11-25 14:09:25,2020/12/25 11:39:59
4,江油市桂香路老旧片区配套设施及道路、管网改造工程和江油市滨江路老旧片区配套设施及道路、管网改造工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/c32ea1c8-9a55-45eb-a683-70228b1927a1.html,2020-11-25 14:52:36,2020/12/25 11:39:59
5,平昌县得胜镇前锋村仔猪扩繁场比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/8e5d2071-f028-4678-a238-e52fd77f44b1.html,2020-11-25 15:02:16,2020/12/25 11:39:59
6,玉章故居配套基础设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/e02b59b8-8707-498e-9198-406488fe4f57.html,2020-11-25 15:25:24,2020/12/25 11:40:00
7,青白江区“8.11”、“8.16”区管河道水毁修复工程、青白江区福洪镇农村住房困难群众集中居住保障房建设项目红线外道路及配套比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/a4f7c74f-8680-4be2-a383-9fdfefe6f42c.html,2020-11-25 15:58:58,2020/12/25 11:40:00
8,大英县2021年老旧小区配套基础设施改造项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201125/c0fc0da6-960c-4445-a970-6a1132a58ccb.html,2020-11-25 16:20:04,2020/12/25 11:40:00
9,都江堰市疾病预防控制中心改扩建项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/7bdc385a-d6d8-4241-b783-52953fd18bab.html,2020-11-26 14:09:18,2020/12/25 11:40:00
10,营门口社区卫生服务中心改造工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/b71939af-f684-430a-8d95-13dae8abf535.html,2020-11-26 14:10:27,2020/12/25 11:40:00
11,中国（绵阳）科技城循环经济产业园排洪渠迁改项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/d0dcef38-8344-46b8-afe9-128984cd28ea.html,2020-11-26 14:10:59,2020/12/25 11:40:00
12,中国（绵阳）科技城临港经济发展区排洪渠政治（科伦医贸至红岩子大桥段）项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/7e474337-6c70-406a-a956-cb4e35942dcd.html,2020-11-26 14:11:43,2020/12/25 11:40:00
13,赠科乡扎马村村组道路及排污管道建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/ba17599f-6d1d-402d-96b5-302a7ec5a60c.html,2020-11-26 14:20:19,2020/12/25 11:40:00
14,攀枝花市应急物资储备库及智能化体系建设比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/be710f53-0377-4b02-9d64-76d08bc20c92.html,2020-11-26 15:16:37,2020/12/25 11:40:00
15,巴中市公安局恩阳分局曾家坝派出所业务用房建设项目、巴中市公安局恩阳分局登科派出所业务用房建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201126/6de38cb6-76ca-46a3-b0b1-a98b570b63e1.html,2020-11-26 15:46:56,2020/12/25 11:40:00
16,珙县巡场镇第四幼儿园改造项目及珙县巡场镇第三幼儿园建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201127/004e202f-25dd-456a-8ad0-f5248737214c.html,2020-11-27 08:59:22,2020/12/25 11:40:01
17,青白江QBJP2019-6（252）地块新建商品住宅、绿化工程及附属设施项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201127/b55843fc-f5e9-43f3-937d-5808243f6f30.html,2020-11-27 11:05:46,2020/12/25 11:40:01
18,兴文县公安局僰王山镇派出所建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201127/ae97d228-81b0-425c-9467-2543bea2607d.html,2020-11-27 16:28:16,2020/12/25 11:40:01
19,昭觉县服装厂项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/99880157-0520-43cd-937b-42be03b2b4b0.html,2020-11-30 09:15:25,2020/12/25 11:40:01
20,盐源县官地镇乡镇干部安心工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/6a0744c0-2a7d-4e8d-a26e-cf7db1973b5f.html,2020-11-30 09:15:27,2020/12/25 11:40:01
21,四川绵阳安州工业园区兴业路道路工程项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/76aa75a0-3172-452c-bb65-438d39b11df1.html,2020-11-30 10:11:13,2020/12/25 11:40:01
22,犍为县铜高教师周转房装修工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/06074eda-529a-4d9c-84f5-b83aec04192d.html,2020-11-30 11:26:21,2020/12/25 11:40:02
23,阿坝州“安心工程”藏区干部定居房试点（茂县点）建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/546a368f-f2aa-45c4-b76a-e506bbc1c14b.html,2020-11-30 11:36:24,2020/12/25 11:40:02
24,平武县南坝镇城镇生活污水处理工程（二期）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/9f31549e-66b1-416f-87ae-f0be6e85d312.html,2020-11-30 14:06:18,2020/12/25 11:40:02
25,绵竹市玉马公共租赁住房基础设施配套项目（二期）比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/c810779c-8bde-47b2-94db-ac2c1173b405.html,2020-11-30 14:08:20,2020/12/25 11:40:02
26,凤凰大道东段市政道路工程（一期）项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201130/0d40563c-3b20-47e8-97fc-397d5fbef350.html,2020-11-30 14:58:26,2020/12/25 11:40:02
27,同创大道东段项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/f33dc2bc-1657-4120-8274-881a43be72f9.html,2020-12-01 09:04:28,2020/12/25 11:40:03
28,绵竹市剑南镇五路口社区教师新村小区配套基础设施改造项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/69e2ebdc-1a3f-4ca4-bcdd-c41a37b84f94.html,2020-12-01 09:29:16,2020/12/25 11:40:03
29,马边彝族自治县殡葬服务体系基础设施建设工程项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/d88f0e34-3dac-48c5-a506-7cad9a08ed09.html,2020-12-01 09:30:48,2020/12/25 11:40:03
30,金川县公共服务设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/9475c260-4f34-43b3-ae95-794e4848635e.html,2020-12-01 11:00:47,2020/12/25 11:40:03
31,雅安文教新城市政道路恢复重建项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/78660522-dd1d-4701-a0a6-caa82036e79e.html,2020-12-01 14:04:21,2020/12/25 11:40:03
32,平昌县城区供水设施升级改造工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201201/b7f659c5-312a-4683-98c1-b750368743d1.html,2020-12-01 14:11:25,2020/12/25 11:40:03
33,珙县底洞镇第二幼儿园、珙县孝儿镇第二幼儿园建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/b3ca92d7-441d-400e-9763-0488b3418d64.html,2020-12-02 09:12:27,2020/12/25 11:40:03
34,自贡恐龙旅游综合服务中心与恐龙博物馆互通人行天桥及配套绿化工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/5a30f4f4-d0ac-4347-8b70-27cf7bd859f1.html,2020-12-02 11:04:54,2020/12/25 11:40:04
35,中国成都SOS儿童村配套用房建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/b7d13b4c-7073-494e-8917-bd74b2e89b9b.html,2020-12-02 11:05:25,2020/12/25 11:40:04
36,广安经济技术开发区沙坪路工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/f50a611b-0a3d-47f0-a92a-e14d5e0b3d21.html,2020-12-02 11:53:17,2020/12/25 11:40:04
37,绵阳市朝阳片区国有工矿棚户区改造项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/77049d8a-e03b-48b6-8967-c91781942523.html,2020-12-02 14:47:16,2020/12/25 11:40:04
38,四川省巴中市恩阳区登科街道办事处与花丛镇盛花山村、三合寨村、葫芦村、白果坪村城乡建设用地增减挂钩试点项目区配套基础设施项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/64c3bd88-76ba-4b22-a089-9fe90017254f.html,2020-12-02 14:48:33,2020/12/25 11:40:04
39,河东新区科教园基础设施灾后治理和修复项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201202/c1597601-8da0-4ef3-b6b0-9d03c78cf062.html,2020-12-02 16:40:54,2020/12/25 11:40:05
40,玉章故居配套基础设施建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/c015c2a1-6a28-4c6e-92c2-b8563b427e20.html,2020-12-03 09:40:20,2020/12/25 11:40:05
41,石棉县向阳小学教学综合楼建设工程比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/06092b7f-7761-42eb-8e6f-a94c4190c977.html,2020-12-03 11:56:42,2020/12/25 11:40:05
42,甘孜县城市立交桥工程建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/995e5de6-100f-4b66-9c01-91a2fc59772f.html,2020-12-03 11:57:13,2020/12/25 11:40:05
43,圣水北街市政道路建设工程项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/510a9cef-7d8d-42be-aa43-918c59391ca5.html,2020-12-03 14:10:18,2020/12/25 11:40:05
44,河东新区G318国道灾后治理和修复项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/4697cb2f-569c-47b1-9c3a-64267b9cb4f6.html,2020-12-03 14:11:19,2020/12/25 11:40:05
45,越西县公安局特巡警大队业务技术用房建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201203/1e8ac6b5-2220-4920-ae19-485b53a4041c.html,2020-12-03 15:54:58,2020/12/25 11:40:05
46,江安县汉安剧场建设项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201204/8a265306-7640-464f-9a3e-a22f4de2160d.html,2020-12-04 11:27:27,2020/12/25 11:40:05
47,凤凰大道绿化提升改造项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201204/32b886fe-34b5-4107-b4e8-38cab82a725d.html,2020-12-04 14:13:14,2020/12/25 11:40:05
48,四川省巴中市恩阳区登科街道办事处与义兴镇新庙村、南岩村城乡建设用地增减挂钩试点项目区配套基础设施项目比选公告,http://ggzyjy.sc.gov.cn//jyxx/002008/002008001/20201204/fa888c07-d89f-4a87-9374-3b1e475f4ecc.html,2020-12-04 14:31:10,2020/12/25 11:40:05
